00:00.063  reports          | WARNING Unable to open 'C:\Users\yuki_\AppData\Roaming\Blender Foundation\Blender\5.2\config\userpref.blend': Permission denied
11:09:57 | INFO: Blender create Mesh node 75
11:09:58 | INFO: Blender create Mesh node 76
11:09:58 | INFO: Blender create Mesh node 77
11:09:58 | INFO: Blender create Mesh node 78
11:09:58 | INFO: Blender create Mesh node 79
11:09:58 | INFO: Blender create Mesh node 80
11:09:59 | INFO: Blender create Mesh node 81
11:09:59 | INFO: Blender create Mesh node 82
11:09:59 | INFO: Blender create Mesh node 83
11:09:59 | INFO: Blender create Mesh node 84
11:09:59 | INFO: Blender create Mesh node 85
11:09:59 | INFO: Blender create Mesh node 86
11:10:00 | INFO: Blender create Mesh node 87
11:10:00 | INFO: Blender create Mesh node 88
11:10:00 | INFO: Blender create Mesh node 89
11:10:00 | INFO: Blender create Mesh node 90
11:10:00 | INFO: Blender create Mesh node 91
11:10:01 | INFO: Blender create Mesh node 92
11:10:01 | INFO: Blender create Mesh node 93
11:10:01 | INFO: Blender create Mesh node 94
11:10:01 | INFO: Blender create Mesh node 95
11:10:01 | INFO: Blender create Mesh node 96
11:10:01 | INFO: Blender create Mesh node 97
11:10:02 | INFO: Blender create Mesh node 98
11:10:02 | INFO: Blender create Mesh node 99
11:10:02 | INFO: Blender create Mesh node 100
11:10:02 | INFO: Blender create Mesh node 101
11:10:02 | INFO: Blender create Mesh node 102
11:10:03 | INFO: Blender create Mesh node 103
11:10:03 | INFO: Blender create Mesh node 104
11:10:03 | INFO: Blender create Mesh node 105
11:10:03 | INFO: Blender create Mesh node 106
11:10:03 | INFO: Blender create Mesh node 107
11:10:03 | INFO: Blender create Mesh node 108
11:10:03 | INFO: Blender create Mesh node 109
11:10:03 | INFO: Blender create Mesh node 110
11:10:03 | INFO: Blender create Mesh node 111
11:10:03 | INFO: Blender create Mesh node 112
11:10:03 | INFO: Blender create Mesh node 113
11:10:03 | INFO: Blender create Mesh node 114
11:10:03 | INFO: Blender create Mesh node 115
11:10:03 | INFO: Blender create Mesh node 116
11:10:03 | INFO: Blender create Mesh node 117
11:10:03 | INFO: Blender create Mesh node 118
11:10:03 | INFO: Blender create Mesh node 119
11:10:03 | INFO: Blender create Mesh node 120
11:10:03 | INFO: Blender create Mesh node 121
11:10:03 | INFO: Blender create Mesh node 122
11:10:03 | INFO: Blender create Mesh node 123
11:10:03 | INFO: Blender create Mesh node 124
11:10:03 | INFO: Blender create Mesh node 125
11:10:03 | INFO: Blender create Mesh node 126
11:10:03 | INFO: Blender create Mesh node 127
11:10:03 | INFO: Blender create Mesh node 128
11:10:03 | INFO: Blender create Mesh node 129
11:10:03 | INFO: Blender create Mesh node 130
11:10:03 | INFO: Blender create Mesh node 131
11:10:03 | INFO: Blender create Mesh node 132
11:10:03 | INFO: Blender create Mesh node 133
11:10:03 | INFO: Blender create Mesh node 134
11:10:03 | INFO: Blender create Mesh node 135
11:10:03 | INFO: Blender create Mesh node 136
11:10:03 | INFO: Blender create Mesh node 137
11:10:03 | INFO: Blender create Mesh node 138
11:10:03 | INFO: Blender create Mesh node 139
11:10:03 | INFO: Blender create Mesh node 140
11:10:03 | INFO: Blender create Mesh node 141
11:10:03 | INFO: Blender create Mesh node 142
11:10:03 | INFO: Blender create Mesh node 143
11:10:03 | INFO: Blender create Mesh node 144
11:10:03 | INFO: Blender create Mesh node 145
11:10:03 | INFO: Blender create Mesh node 146
11:10:03 | INFO: Blender create Mesh node 147
11:10:03 | INFO: Blender create Mesh node 148
11:10:03 | INFO: Blender create Mesh node 149
11:10:03 | INFO: Blender create Mesh node 150
11:10:03 | INFO: Blender create Mesh node 151
11:10:03 | INFO: Blender create Mesh node 152
11:10:03 | INFO: Blender create Mesh node 153
11:10:03 | INFO: Blender create Mesh node 154
11:10:03 | INFO: Blender create Mesh node 155
11:10:04 | INFO: Blender create Mesh node 156
11:10:04 | INFO: Blender create Mesh node 157
11:10:04 | INFO: Blender create Mesh node 158
11:10:04 | INFO: Blender create Mesh node 159
11:10:04 | INFO: Blender create Mesh node 160
11:10:04 | INFO: Blender create Mesh node 161
11:10:04 | INFO: Blender create Mesh node 162
11:10:04 | INFO: Blender create Mesh node 163
11:10:04 | INFO: Blender create Mesh node 164
11:10:04 | INFO: Blender create Mesh node 165
11:10:04 | INFO: Blender create Mesh node 166
11:10:04 | INFO: Blender create Mesh node 167
11:10:04 | INFO: Blender create Mesh node 168
11:10:04 | INFO: Blender create Mesh node 169
11:10:04 | INFO: Blender create Mesh node 170
11:10:04 | INFO: Blender create Mesh node 171
11:10:04 | INFO: Blender create Mesh node 172
11:10:04 | INFO: Blender create Mesh node 173
11:10:04 | INFO: Blender create Mesh node 174
11:10:04 | INFO: Blender create Mesh node 175
11:10:04 | INFO: Blender create Mesh node 176
11:10:04 | INFO: Blender create Mesh node 177
11:10:04 | INFO: Blender create Mesh node 178
11:10:04 | INFO: Blender create Mesh node 179
11:10:04 | INFO: Blender create Mesh node 180
11:10:04 | INFO: Blender create Mesh node 181
11:10:04 | INFO: Blender create Mesh node 182
11:10:04 | INFO: Blender create Mesh node 183
11:10:04 | INFO: Blender create Mesh node 184
11:10:04 | INFO: Blender create Mesh node 185
11:10:04 | INFO: Blender create Mesh node 186
11:10:04 | INFO: Blender create Mesh node 187
11:10:04 | INFO: Blender create Mesh node 188
11:10:04 | INFO: Blender create Mesh node 189
11:10:04 | INFO: Blender create Mesh node 190
11:10:04 | INFO: Blender create Mesh node 191
11:10:04 | INFO: Blender create Mesh node 192
11:10:04 | INFO: Blender create Mesh node 193
11:10:04 | INFO: Blender create Mesh node 194
11:10:04 | INFO: Blender create Mesh node 195
11:10:04 | INFO: Blender create Mesh node 196
11:10:04 | INFO: Blender create Mesh node 197
11:10:04 | INFO: Blender create Mesh node 198
11:10:04 | INFO: Blender create Mesh node 199
11:10:04 | INFO: Blender create Mesh node 200
11:10:04 | INFO: Blender create Mesh node 201
11:10:04 | INFO: Blender create Mesh node 202
11:10:04 | INFO: Blender create Mesh node 203
11:10:04 | INFO: Blender create Mesh node 204
11:10:04 | INFO: Blender create Mesh node 205
11:10:04 | INFO: Blender create Mesh node 206
11:10:04 | INFO: Blender create Mesh node 207
11:10:04 | INFO: Blender create Mesh node 208
11:10:04 | INFO: Blender create Mesh node 209
11:10:04 | INFO: Blender create Mesh node 210
11:10:04 | INFO: Blender create Mesh node 211
11:10:04 | INFO: Blender create Mesh node 212
11:10:04 | INFO: Blender create Mesh node 213
11:10:04 | INFO: Blender create Mesh node 214
11:10:04 | INFO: Blender create Mesh node 215
11:10:04 | INFO: Blender create Mesh node 216
11:10:04 | INFO: Blender create Mesh node 217
11:10:04 | INFO: Blender create Mesh node 218
11:10:04 | INFO: Blender create Mesh node 219
11:10:04 | INFO: Blender create Mesh node 220
11:10:04 | INFO: Blender create Mesh node 221
11:10:04 | INFO: Blender create Mesh node 222
11:10:04 | INFO: Blender create Mesh node 223
11:10:04 | INFO: Blender create Mesh node 224
11:10:04 | INFO: Blender create Mesh node 225
11:10:04 | INFO: Blender create Mesh node 226
11:10:04 | INFO: Blender create Mesh node 227
11:10:04 | INFO: Blender create Mesh node 228
11:10:04 | INFO: Blender create Mesh node 229
11:10:04 | INFO: Blender create Mesh node 230
11:10:04 | INFO: Blender create Mesh node 231
11:10:04 | INFO: Blender create Mesh node 232
11:10:04 | INFO: Blender create Mesh node 233
11:10:05 | INFO: Blender create Mesh node 234
11:10:05 | INFO: glTF import finished in 21.41s
BLENDER_QA {"meshes": 235, "vertices": 8999145, "materials": 4, "images": ["Image_0", "Image_1"]}

Blender quit
